Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Desc_us_desti_principal,Concepte,Nombre
2023,1,Ciutat Vella,1,el Raval,10,Comerç,Nombre,84
2023,1,Ciutat Vella,1,el Raval,10,Oficines,Nombre,14
2023,1,Ciutat Vella,1,el Raval,10,Aparcaments,Nombre,342
2023,1,Ciutat Vella,1,el Raval,10,Turisme i hostaleria,Nombre,12
2023,1,Ciutat Vella,1,el Raval,10,Indústria,Nombre,6
2023,1,Ciutat Vella,1,el Raval,10,Esportiu,Nombre,1
2023,1,Ciutat Vella,1,el Raval,10,Magatzem,Nombre,138
2023,1,Ciutat Vella,1,el Raval,10,Habitatge,Nombre,967
2023,1,Ciutat Vella,1,el Raval,10,Comerç,Valor_€,6327872.44
2023,1,Ciutat Vella,1,el Raval,10,Oficines,Valor_€,864087.02
2023,1,Ciutat Vella,1,el Raval,10,Aparcaments,Valor_€,3060271.59
2023,1,Ciutat Vella,1,el Raval,10,Turisme i hostaleria,Valor_€,2942058.88
2023,1,Ciutat Vella,1,el Raval,10,Indústria,Valor_€,45947.96
2023,1,Ciutat Vella,1,el Raval,10,Esportiu,Valor_€,112192.76
2023,1,Ciutat Vella,1,el Raval,10,Magatzem,Valor_€,5827924.76
2023,1,Ciutat Vella,1,el Raval,10,Habitatge,Valor_€,46540453.12
2023,1,Ciutat Vella,1,el Raval,11,Indústria,Superfície_m2,2
2023,1,Ciutat Vella,1,el Raval,11,Ensenyament i cultura,Superfície_m2,14103
2023,1,Ciutat Vella,1,el Raval,11,Turisme i hostaleria,Superfície_m2,1151
2023,1,Ciutat Vella,1,el Raval,11,Habitatge,Superfície_m2,82807
2023,1,Ciutat Vella,1,el Raval,11,Esportiu,Superfície_m2,3393
2023,1,Ciutat Vella,1,el Raval,11,Aparcaments,Superfície_m2,1502
2023,1,Ciutat Vella,1,el Raval,11,Comerç,Superfície_m2,8569
2023,1,Ciutat Vella,1,el Raval,11,Oficines,Superfície_m2,1657
2023,1,Ciutat Vella,1,el Raval,11,Magatzem,Superfície_m2,3456
2023,1,Ciutat Vella,1,el Raval,11,Espectacles,Superfície_m2,354
2023,1,Ciutat Vella,1,el Raval,11,Religiós,Superfície_m2,2036
2023,1,Ciutat Vella,1,el Raval,11,Indústria,Nombre,1
2023,1,Ciutat Vella,1,el Raval,11,Ensenyament i cultura,Nombre,29
2023,1,Ciutat Vella,1,el Raval,11,Turisme i hostaleria,Nombre,10
2023,1,Ciutat Vella,1,el Raval,11,Habitatge,Nombre,1562
2023,1,Ciutat Vella,1,el Raval,11,Esportiu,Nombre,9
2023,1,Ciutat Vella,1,el Raval,11,Aparcaments,Nombre,34
2023,1,Ciutat Vella,1,el Raval,11,Comerç,Nombre,113
2023,1,Ciutat Vella,1,el Raval,11,Oficines,Nombre,12
2023,1,Ciutat Vella,1,el Raval,11,Magatzem,Nombre,48
2023,1,Ciutat Vella,1,el Raval,11,Espectacles,Nombre,2
2023,1,Ciutat Vella,1,el Raval,11,Religiós,Nombre,6
2023,1,Ciutat Vella,1,el Raval,11,Indústria,Valor_€,1243.69
2023,1,Ciutat Vella,1,el Raval,11,Ensenyament i cultura,Valor_€,11246411.72
